,Review_text,Sentiment
0,"A very, very, very slow-moving, aimless movie about a distressed, drifting young man.          0", 0
1,"Not sure who was more lost - the flat characters or the audience, nearly half of whom walked out.          0", 0
2,"Attempting artiness with black & white and clever camera angles, the movie disappointed - became even more ridiculous - as the acting was poor and the plot and lines almost non-existent.          0", 0
3,Very little music or anything to speak of.          0, 0
4,The best scene in the movie was when Gerardo is trying to find a song that keeps running through his head.          1, 1
5,"The rest of the movie lacks art, charm, meaning... If it's about emptiness, it works I guess because it's empty.          0", 0
6,Wasted two hours.          0, 0
7,"Saw the movie today and thought it was a good effort, good messages for kids.          1", 1
8,A bit predictable.          0, 0
9,Loved the casting of Jimmy Buffet as the science teacher.          1, 1
10,And those baby owls were adorable.          1, 1
11,"The movie showed a lot of Florida at it's best, made it look very appealing.          1", 1
12,The Songs Were The Best And The Muppets Were So Hilarious.          1, 1
13,It Was So Cool.          1, 1
14,"This is a very ""right on case"" movie that delivers everything almost right in your face.          1", 1
15,"It had some average acting from the main person, and it was a low budget as you clearly can see.          0", 0
16,"This review is long overdue, since I consider A Tale of Two Sisters to be the single greatest film ever made.          1", 1
17,"I'll put this gem up against any movie in terms of screenplay, cinematography, acting, post-production, editing, directing, or any other aspect of film-making.          1", 1
18,"It's practically perfect in all of them  a true masterpiece in a sea of faux ""masterpieces.          1", 1
21,"If there was ever a movie that needed word-of-mouth to promote, this is it.          1", 1
22,"Overall, the film is interesting and thought-provoking.          1", 1
23,"Plus, it was well-paced and suited its relatively short run time.          1", 1
24,Give this one a look.          1, 1
26,The Wind and the Lion is well written and superbly acted.          1, 1
27,It is a true classic.          1, 1
28,It actually turned out to be pretty decent as far as B-list horror/suspense films go.          1, 1
29,Definitely worth checking out.          1, 1
30,The problem was the script.          0, 0
31,It was horrendous.          0, 0
32,There was NOTHING believable about it at all.          0, 0
33,The only suspense I was feeling was the frustration at just how retarded the girls were.          0, 0
34,MANNA FROM HEAVEN is a terrific film that is both predictable and unpredictable at the same time.          1, 1
35,The scenes are often funny and occasionally touching as the characters evaluate their lives and where they are going.          1, 1
36,The cast of veteran actors are more than just a nostalgia trip.          1, 1
37,Ursula Burton's portrayal of the nun is both touching and funny at the same time with out making fun of nuns or the church.          1, 1
38,"If you are looking for a movie with a terrific cast, some good music(including a Shirley Jones rendition of ""The Way You Look Tonight""), and an uplifting ending, give this one a try.          1", 1
39,I don't think you will be disappointed.          1, 1
40,"Frankly, after Cotton club and Unfaithful, it was kind of embarrassing to watch Lane and Gere in this film, because it is BAD.          0", 0
41,"The acting was bad, the dialogs were extremely shallow and insincere.          0", 0
42,"It was too predictable, even for a chick flick.          0", 0
43,Too politically correct.          0, 0
44,Very disappointing.          0, 0
45,"The only thing really worth watching was the scenery and the house, because it is beautiful.          1", 1
46,"I love Lane, but I've never seen her in a movie this lousy.          0", 0
47,An hour and a half I wish I could bring back.          0, 0
48,But in terms of the writing it's very fresh and bold.          1, 1
49,"The acting helps the writing along very well (maybe the idiot-savant sister could have been played better), and it is a real joy to watch.          1", 1
50,The directing and the cinematography aren't quite as good.          0, 0
51,"The movie was so boring, that I sometimes found myself occupied peaking in the paper instead of watching (never happened during a Columbo movie before!          0", 0
52,"), and sometimes it was so embarrassing that I had to look away.          0", 0
